Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Belgium,2011,2,Kilogram,,,
Cyprus,2015,1.68,Kilogram,,,
Cyprus,2013,0.58,Kilogram,,,
Cyprus,2012,0.4,Kilogram,,,
Cyprus,2011,0.05,Kilogram,,,
Czechia,2015,107.4,Kilogram,,,
Czechia,2014,50.24,Kilogram,,,
Czechia,2013,69.14,Kilogram,,,
Czechia,2012,31.9,Kilogram,,,
Czechia,2011,20.05,Kilogram,,,
Denmark,2015,3,Kilogram,,,
Denmark,2014,3.06,Kilogram,,,
Denmark,2013,0.82,Kilogram,,,
Denmark,2012,0.4,Kilogram,,,
Estonia,2015,1.94,Kilogram,,,
Estonia,2014,36.64,Kilogram,,,
Estonia,2013,2.44,Kilogram,,,
Estonia,2012,28,Kilogram,,,
Estonia,2011,1.54,Kilogram,,,
