Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Slovakia,2014,0.05,Kilogram,,,
Slovakia,2013,0.19,Kilogram,,,
Slovakia,2012,0.26,Kilogram,,,
Slovakia,2011,0.32,Kilogram,,,
Slovenia,2015,6.47,Kilogram,,,
Slovenia,2014,4.87,Kilogram,,,
Slovenia,2013,7.65,Kilogram,,,
Slovenia,2012,20.34,Kilogram,,,
Slovenia,2011,4.39,Kilogram,,,
Spain,2015,255.73,Kilogram,,,
Spain,2014,244,Kilogram,,,
Spain,2013,291,Kilogram,,,
Spain,2012,228.69,Kilogram,,,
Spain,2011,412.53,Kilogram,,,
Sweden,2015,8.2,Kilogram,,,
Sweden,2014,23.5,Kilogram,,,
Sweden,2013,6.13,Kilogram,,,
Sweden,2012,6.8,Kilogram,,,
Sweden,2011,21.4,Kilogram,,,
Switzerland,2015,151,Kilogram,,,
Switzerland,2014,267,Kilogram,,,
Switzerland,2013,184,Kilogram,,,
Switzerland,2012,162,Kilogram,,,
Switzerland,2011,200,Kilogram,,,
United Kingdom,2015,806,Kilogram,,,
United Kingdom,2014,"1,113.60",Kilogram,,,
United Kingdom,2013,784.9,Kilogram,,,
United Kingdom,2012,831,Kilogram,,,
United Kingdom,2011,"1,968",Kilogram,,,
Australia,2015,823.23,Kilogram,,,
Australia,2014,618.85,Kilogram,,,
Australia,2013,428.84,Kilogram,,,
Australia,2012,"1,089.86",Kilogram,,,
Australia,2011,609,Kilogram,,,
New Zealand,2014,16.05,Kilogram,,,
New Zealand,2013,0.02,Kilogram,,,
New Zealand,2012,0.0018,Kilogram,,,
New Zealand,2011,0.27,Kilogram,,,
